"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","lwr.ci","upr.ci","dataInput","model","site","groupAge","serotype","year.lamb"
"C1D1.1",0.0236047614824563,0.0308778174934243,0.0327622740975028,0.0328353159000103,0.0346916604265048,0.0447557829977956,0.0327847399185936,0.032885891881427,"C1D1","SS","HC",5,"DENV1",NA
"C1D1.2",0.010787418616151,0.0164655970875118,0.0178853660305137,0.0179549850900875,0.0193923586733122,0.0271166052265249,0.0179167355395946,0.0179932346405805,"C1D1","SS","HC",5,"DENV2",NA
"C1D1.3",0.00209349992502816,0.00569119581916838,0.00663904471042909,0.00673070590146163,0.00768533205850963,0.0133851028681415,0.00670459414773412,0.00675681765518914,"C1D1","SS","HC",5,"DENV3",NA
"C1D1.4",0.00874926772489615,0.0142004986949285,0.0155000537677785,0.015584785857498,0.016918993321441,0.0256035402615671,0.0155492749100243,0.0156202968049717,"C1D1","SS","HC",5,"DENV4",NA
"C1F1.1",0.0216757246563998,0.0290949936820966,0.0309000605365896,0.0309886491597154,0.0328119072180937,0.04144293350062,0.0309395220489518,0.031037776270479,"C1F1","SS","HC",5,"DENV1",NA
"C1F1.2",0.00904252809490447,0.0140426198824152,0.0153416367145292,0.0154238289779582,0.0167549139404118,0.0248431560839634,0.0153880813677247,0.0154595765881917,"C1F1","SS","HC",5,"DENV2",NA
"C1F1.3",0.00597166146625006,0.0112016832474551,0.012442772147195,0.0125323437404529,0.0137666791383038,0.0211962546032134,0.0124988433374653,0.0125658441434406,"C1F1","SS","HC",5,"DENV3",NA
"C1F1.4",0.00744848499161122,0.0119659119523469,0.0131988458856008,0.0132916079417463,0.0145596494506476,0.0212040896049964,0.0132575244094206,0.013325691474072,"C1F1","SS","HC",5,"DENV4",NA
"C1D3.1",0.0110101503541074,0.0163451362582934,0.0177519430907441,0.0178131148592753,0.0191969843166066,0.0266811293369058,0.017775784883919,0.0178504448346315,"C1D3","SS","HC",5,"DENV1",NA
"C1D3.2",0.0219260229634629,0.0298215899391771,0.0316644997174906,0.0317345798098024,0.0335982582264973,0.0435016827266769,0.031684700234796,0.0317844593848087,"C1D3","SS","HC",5,"DENV2",NA
"C1D3.3",0.000928307273482254,0.00383399200242321,0.00465026135075813,0.00473841201628389,0.00554296475594435,0.0105702276135988,0.00471570719113103,0.00476111684143675,"C1D3","SS","HC",5,"DENV3",NA
"C1D3.4",0.0111598671870461,0.0174904803687294,0.018905664918786,0.0189926896114607,0.0204173100949007,0.0286629467599063,0.0189537489517331,0.0190316302711883,"C1D3","SS","HC",5,"DENV4",NA
"C1F3.1",0.00969588689754797,0.0157695751690539,0.0171396046537899,0.0172052920642875,0.0185473087394525,0.0275466391308919,0.0171683539604215,0.0172422301681536,"C1F3","SS","HC",5,"DENV1",NA
"C1F3.2",0.0222407852161082,0.0302834526228274,0.0321419877120482,0.0322399921580046,0.0341315971830234,0.0428007206229856,0.0321892269755642,0.0322907573404451,"C1F3","SS","HC",5,"DENV2",NA
"C1F3.3",0.00271388402884498,0.00633698925124623,0.00734474149160141,0.00743537965292241,0.00843033817343075,0.0141634093772525,0.00740782840708272,0.0074629308987621,"C1F3","SS","HC",5,"DENV3",NA
"C1F3.4",0.00834430475465553,0.0146954880501129,0.0160536243294555,0.0161295380585211,0.0174793839583041,0.0246979510818723,0.0160928217075682,0.0161662544094739,"C1F3","SS","HC",5,"DENV4",NA
