"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","lwr.ci","upr.ci","dataInput","model","site","groupAge","serotype","year.lamb"
"C1D1.1",0.0332115010931834,0.0449181314431251,0.0476250929980746,0.04764065423696,0.0502517770897428,0.0638465584052209,0.0475711822909882,0.0477101261829318,"C1D1","SS","KH",5,"DENV1",NA
"C1D1.2",0.0274644460863745,0.0366149192192151,0.038987378482202,0.039091225031548,0.0414237693152451,0.0560058603055572,0.0390275631777867,0.0391548868853094,"C1D1","SS","KH",5,"DENV2",NA
"C1D1.3",0.0042034215493636,0.00877939599824634,0.010170253552318,0.0102735146222168,0.011638505869087,0.0208019050987667,0.0102355585792138,0.0103114706652199,"C1D1","SS","KH",5,"DENV3",NA
"C1D1.4",0.00374947132915193,0.00850332813201313,0.00987495913825537,0.0100255450295145,0.0113866336342497,0.0201605491782463,0.00998734468807653,0.0100637453709524,"C1D1","SS","KH",5,"DENV4",NA
"C1F1.1",0.0294402833073897,0.0397231622810248,0.0421662036057157,0.0422472858447588,0.0447103670952486,0.0572599691776841,0.0421813508388004,0.0423132208507173,"C1F1","SS","KH",5,"DENV1",NA
"C1F1.2",0.0238787033518209,0.0337700810564015,0.0361048936029745,0.0361729567159414,0.0384106451489474,0.0504477008751684,0.0361111130028622,0.0362348004290206,"C1F1","SS","KH",5,"DENV2",NA
"C1F1.3",0.0114226929731237,0.0188494180081572,0.0206690354870364,0.0208012367843578,0.0226041409833268,0.0320071016645737,0.0207519678652473,0.0208505057034684,"C1F1","SS","KH",5,"DENV3",NA
"C1F1.4",0.0010736063432325,0.0044644046696479,0.0055235568660732,0.0056763172205251,0.00673163058853776,0.0141973534757833,0.00564627140603396,0.00570636303501624,"C1F1","SS","KH",5,"DENV4",NA
"C1D3.1",0.0163384956356238,0.0250200649912575,0.0270155925837243,0.0270876586975569,0.0290804831545932,0.0392066874784842,0.0270335324874585,0.0271417849076553,"C1D3","SS","KH",5,"DENV1",NA
"C1D3.2",0.0449791587823077,0.0585044761579924,0.0616529291303801,0.0617966468332293,0.0649747957340685,0.0816475093467944,0.0617116328506346,0.0618816608158241,"C1D3","SS","KH",5,"DENV2",NA
"C1D3.3",0.00328169122667421,0.00806324331194588,0.00942385694346398,0.00954026582975687,0.0109209628500665,0.0190035143236782,0.00950252296130339,0.00957800869821034,"C1D3","SS","KH",5,"DENV3",NA
"C1D3.4",0.0061085258704664,0.0118499409565756,0.0134408487539594,0.0135695111945068,0.0151724457953837,0.024849001098992,0.0135260925785919,0.0136129298104218,"C1D3","SS","KH",5,"DENV4",NA
"C1F3.1",0.0173001228528128,0.025795041961069,0.0277870006536228,0.0278351923807115,0.0298429631908384,0.0400940287892192,0.0277814066183757,0.0278889781430473,"C1F3","SS","KH",5,"DENV1",NA
"C1F3.2",0.0478828968908961,0.062442696257389,0.0657574478502932,0.0659273198986964,0.0693084745866466,0.0854892186676862,0.0658373515310028,0.0660172882663899,"C1F3","SS","KH",5,"DENV2",NA
"C1F3.3",0.00516729570610996,0.0106628960740937,0.0121938652263437,0.0123019905899835,0.0138452222135071,0.022424683531016,0.0122603132828147,0.0123436678971523,"C1F3","SS","KH",5,"DENV3",NA
"C1F3.4",0.002191009508829,0.00686110068199869,0.00822985903924089,0.0083664008028985,0.00967916981320618,0.0183341690353744,0.00832919953432338,0.00840360207147361,"C1F3","SS","KH",5,"DENV4",NA
