"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","lwr.ci","upr.ci","dataInput","model","site","groupAge","serotype","year.lamb"
"C1D1.1",0.000943880768151217,0.0307298935122304,0.0453009650867242,0.0480448271723857,0.062520670968238,0.175614299833083,0.0476316746304467,0.0484579797143247,"C1D1","TV","HC",5,NA,1
"C1D1.2",9.4112576761729e-06,0.00470790255703615,0.00802544771644664,0.00934729178080077,0.0126858980391628,0.0485751537698789,0.00923637938069571,0.00945820418090583,"C1D1","TV","HC",5,NA,2
"C1D1.3",1.57053231956139e-05,0.00416506560970414,0.00698361806380776,0.00806218333901726,0.0108708578922796,0.0449868371452689,0.00796791417325515,0.00815645250477938,"C1D1","TV","HC",5,NA,3
"C1D1.4",3.18297958602498e-05,0.00345018963860849,0.00588411823535245,0.00686684466931273,0.00932296606345601,0.0405380089460802,0.00678445908323408,0.00694923025539138,"C1D1","TV","HC",5,NA,4
"C1D1.5",2.71000593742299e-05,0.00299736932058592,0.00523184839166829,0.00605446997075493,0.00816539317950957,0.0332276262073301,0.00598148440152914,0.00612745553998073,"C1D1","TV","HC",5,NA,5
"C1D1.6",3.44122415218973e-05,0.00303276707039679,0.00521258096561317,0.00604881456578059,0.00807555197447313,0.0417307507567616,0.00597569787807871,0.00612193125348246,"C1D1","TV","HC",5,NA,6
"C1D1.7",6.70313937770617e-05,0.00304721211726244,0.00534937004695224,0.00622169784468121,0.00843015390053622,0.0339394097241329,0.00614610499623654,0.00629729069312588,"C1D1","TV","HC",5,NA,7
"C1D1.8",4.49675069688071e-05,0.00489111799234387,0.00820885173474839,0.00941930592260063,0.0127410745572013,0.0485907317472847,0.00931059760654497,0.00952801423865628,"C1D1","TV","HC",5,NA,8
"C1D1.9",7.20317267201009e-05,0.00485686362199506,0.00832109749148413,0.00957648154039537,0.012989050841675,0.0441051027609601,0.00946462370255781,0.00968833937823292,"C1D1","TV","HC",5,NA,9
"C1D1.10",0.000122965266708963,0.00571174022470083,0.00958104554887768,0.0110210282049726,0.0147908590629954,0.0553582781844083,0.010893928315323,0.0111481280946223,"C1D1","TV","HC",5,NA,10
"C1D1.11",5.40488244678006e-05,0.00717152120886241,0.0122279664626516,0.0140962786550592,0.0190067571794945,0.0693859238491603,0.0139313334821134,0.0142612238280051,"C1D1","TV","HC",5,NA,11
"C1D1.12",0.00013062020849508,0.0111755771892377,0.0183506057941522,0.0206226776060613,0.0277297827121933,0.103656494204188,0.0203973979237693,0.0208479572883533,"C1D1","TV","HC",5,NA,12
"C1D1.13",8.8493911697074e-05,0.0100223767583824,0.0170622939779231,0.0194773691763763,0.0265481208750259,0.0973550922947124,0.0192547114995339,0.0197000268532188,"C1D1","TV","HC",5,NA,13
"C1D1.14",0.000145786074988274,0.0107326210736493,0.01777822015135,0.02022767959532,0.027219347084572,0.0932456361786544,0.0199996903799962,0.0204556688106439,"C1D1","TV","HC",5,NA,14
"C1D1.15",7.22329256803711e-05,0.0101441828308194,0.0171107640776126,0.0198402915374274,0.0268327679370655,0.100897442054425,0.0196082796648912,0.0200723034099636,"C1D1","TV","HC",5,NA,15
"C1D1.16",0.000180143847216874,0.0109940213565811,0.0185940382681861,0.0213868588816956,0.028913718119931,0.10797327369563,0.0211385872126411,0.02163513055075,"C1D1","TV","HC",5,NA,16
"C1D1.17",0.00010904982144222,0.00958973568483454,0.0166420773394148,0.0194165546100769,0.0263270957388958,0.103418698740798,0.0191818612760905,0.0196512479440633,"C1D1","TV","HC",5,NA,17
"C1D1.18",9.10014415930194e-05,0.0114835264162333,0.0194792594037645,0.0221103470638548,0.0298095486091198,0.122195896711299,0.0218567616456677,0.0223639324820419,"C1D1","TV","HC",5,NA,18
"C1D1.19",2.0733350794222e-05,0.0117045796349225,0.0199351985551394,0.0229473744819004,0.0311714582331139,0.113864024569006,0.0226811590177572,0.0232135899460436,"C1D1","TV","HC",5,NA,19
"C1D1.20",4.80070272884658e-05,0.00995690786306658,0.0171313274895958,0.019731706644634,0.0267127676550455,0.107961389432513,0.0194975531278879,0.01996586016138,"C1D1","TV","HC",5,NA,20
"C1D1.21",7.34621889011411e-05,0.0108302809634923,0.0186061317723797,0.0215152560272285,0.029058544152877,0.104948663568014,0.0212594374608849,0.0217710745935722,"C1D1","TV","HC",5,NA,21
"C1D1.22",0.000105274906443964,0.00993141336897468,0.0173267633596664,0.0201944556776822,0.0273681849581026,0.117002178250641,0.0199509453894758,0.0204379659658885,"C1D1","TV","HC",5,NA,22
"C1D1.23",0.000145370644117127,0.00959310157955048,0.0162594202064958,0.0189100771570573,0.0254134661492435,0.0976660274007738,0.0186860430556664,0.0191341112584481,"C1D1","TV","HC",5,NA,23
"C1D1.24",4.33166806117491e-05,0.00898421431345928,0.0151963713925431,0.017700563140036,0.0237759675364796,0.0963172725826891,0.0174896160831169,0.0179115101969552,"C1D1","TV","HC",5,NA,24
"C1D1.25",0.000250243914128756,0.0101528762587109,0.0175448105805541,0.0202316254191628,0.0275091849149588,0.0987972687758497,0.0199940483929719,0.0204692024453537,"C1D1","TV","HC",5,NA,25
"C1D1.26",6.25901725815892e-05,0.00855579836156753,0.0147521821361915,0.0171754598383486,0.0230538536340432,0.0915307885162597,0.0169684177936331,0.017382501883064,"C1D1","TV","HC",5,NA,26
"C1D1.27",0.000119000484407383,0.00804272428691163,0.0138591356022006,0.016365277064493,0.0221246144382937,0.0921774497695497,0.0161661735655906,0.0165643805633955,"C1D1","TV","HC",5,NA,27
"C1D1.28",6.49519599908999e-05,0.010766510825575,0.0185045109945023,0.0214179550380458,0.0290401498944858,0.118461539169524,0.0211633431373411,0.0216725669387506,"C1D1","TV","HC",5,NA,28
"C1D1.29",0.0003048695553729,0.0121045126189835,0.0209724180907396,0.0243712670821386,0.03312528206154,0.108859015554447,0.0240816981388689,0.0246608360254084,"C1D1","TV","HC",5,NA,29
"C1D1.30",4.66795202529457e-05,0.0118110297402709,0.0205246415014032,0.023907190960108,0.0323582366829211,0.123710580664728,0.023623097468569,0.024191284451647,"C1D1","TV","HC",5,NA,30
"C1D1.31",0.000276907061779186,0.0122813019320663,0.0208639698800887,0.0243874204477531,0.0329950491922002,0.15082310642177,0.0240973336081808,0.0246775072873255,"C1D1","TV","HC",5,NA,31
"C1D1.32",6.98897086991446e-05,0.0110848244641288,0.0191426680829052,0.0226647054619034,0.0305840857727483,0.132478401707733,0.0223820737050073,0.0229473372187994,"C1D1","TV","HC",5,NA,32
"C1D1.33",0.000127982419989237,0.0180811653350506,0.0307604575502656,0.0360060968880029,0.0484387240363138,0.226174618500205,0.03557128417863,0.0364409095973758,"C1D1","TV","HC",5,NA,33
"C1D1.34",0.000459858568293336,0.0301890368904338,0.0515264464148802,0.0592735698431044,0.0804924132080554,0.290073451118699,0.0585814882258209,0.0599656514603879,"C1D1","TV","HC",5,NA,34
"C1D1.35",0.00154863317956111,0.0890738375860789,0.142086116965491,0.154956327802905,0.207429425608984,0.60394122238591,0.153394836678952,0.156517818926858,"C1D1","TV","HC",5,NA,35
"C1F1.1",0.000464836036360605,0.0308285704577292,0.0455042947279009,0.0478193623330305,0.0623520444865706,0.157076894569285,0.0474051166651071,0.0482336080009539,"C1F1","TV","HC",5,NA,1
"C1F1.2",5.94103494846454e-05,0.00472484849724508,0.00810037269023806,0.00936201833753503,0.0126261036301979,0.0604405726565881,0.00925016877353964,0.00947386790153041,"C1F1","TV","HC",5,NA,2
"C1F1.3",4.0070879051668e-05,0.00413764500742531,0.00705530472647964,0.00808399942224707,0.0108560317047119,0.0426002052989707,0.00798965973392547,0.00817833911056866,"C1F1","TV","HC",5,NA,3
"C1F1.4",1.15825016696602e-05,0.00336643532534228,0.00582910096103922,0.00683104506145159,0.00924813174265796,0.0398600454121351,0.00674785127257041,0.00691423885033276,"C1F1","TV","HC",5,NA,4
"C1F1.5",4.03198210214839e-05,0.00302979420595337,0.00520407156586,0.00608315690560574,0.00825778586220235,0.03051044644747,0.00600968787525942,0.00615662593595206,"C1F1","TV","HC",5,NA,5
"C1F1.6",3.3168746408907e-05,0.0029992517728594,0.00523467016703788,0.00606538623371293,0.0082657802194592,0.0319297862591156,0.00599234755852298,0.00613842490890289,"C1F1","TV","HC",5,NA,6
"C1F1.7",2.13630426240119e-05,0.00311412352162299,0.00533875942177536,0.00625772797563378,0.00846759343377021,0.0319356150949812,0.00618261483044067,0.00633284112082689,"C1F1","TV","HC",5,NA,7
"C1F1.8",8.00132383855789e-05,0.00470204183159614,0.00821510704564316,0.00942156255852663,0.0128303803180251,0.0497030019447634,0.00931168157705373,0.00953144353999953,"C1F1","TV","HC",5,NA,8
"C1F1.9",7.84160508622289e-05,0.00494397937866939,0.00836723602736461,0.00962076484606388,0.0131002050184524,0.0560026858058811,0.00950974026704684,0.00973178942508091,"C1F1","TV","HC",5,NA,9
"C1F1.10",8.38226179949997e-05,0.00576221393064127,0.0097109189552067,0.0110710077107536,0.0150375332119455,0.05007023888457,0.010944622691336,0.0111973927301712,"C1F1","TV","HC",5,NA,10
"C1F1.11",8.52470830599028e-05,0.00723551461480726,0.0123467011747048,0.0141396582537326,0.0192597812145797,0.0743014232903609,0.0139756575107635,0.0143036589967017,"C1F1","TV","HC",5,NA,11
"C1F1.12",0.000191785259798682,0.0111323560656836,0.0183094790519247,0.0204277160597422,0.0275435251157799,0.0965585850732751,0.0202049474134837,0.0206504847060007,"C1F1","TV","HC",5,NA,12
"C1F1.13",4.35315696256655e-05,0.0101816917192688,0.0172402591098258,0.0196022871290998,0.0266216669462468,0.0883921533883297,0.019381312862549,0.0198232613956506,"C1F1","TV","HC",5,NA,13
"C1F1.14",0.00027005487607823,0.0104762856232669,0.0177468705999587,0.0202831831766476,0.0273374018111028,0.10089842512134,0.0200506799675139,0.0205156863857814,"C1F1","TV","HC",5,NA,14
"C1F1.15",4.75984585727174e-05,0.0101332464495288,0.0173437166767088,0.0199490029170679,0.0269082266477058,0.0926604993367818,0.0197166946521157,0.0201813111820201,"C1F1","TV","HC",5,NA,15
"C1F1.16",5.5626024584976e-05,0.0107934235005566,0.0184815918655185,0.0212613502757686,0.0287608452194486,0.113643352949031,0.0210132564607585,0.0215094440907787,"C1F1","TV","HC",5,NA,16
"C1F1.17",0.000108134236605717,0.00974008410074609,0.0167549569646639,0.0192580664872994,0.0259250288919892,0.0979721385852905,0.0190309537434252,0.0194851792311735,"C1F1","TV","HC",5,NA,17
"C1F1.18",0.000100848541381815,0.0111471120232096,0.0189801536796378,0.0219586471633696,0.0299689041856634,0.122985946726004,0.0217009053599479,0.0222163889667913,"C1F1","TV","HC",5,NA,18
"C1F1.19",0.000103108656434037,0.0120105419069609,0.0203052571390527,0.023093183469318,0.031191413580296,0.116305908186186,0.0228299042355639,0.0233564627030721,"C1F1","TV","HC",5,NA,19
"C1F1.20",6.43906475362721e-05,0.00959674026540236,0.0166016408121716,0.0196139312347277,0.0266719855948664,0.12353264964976,0.019374905051681,0.0198529574177743,"C1F1","TV","HC",5,NA,20
"C1F1.21",0.000296962989086103,0.0108026283539779,0.0185869896521451,0.0215220759765118,0.0293561394849179,0.112287945140606,0.0212662420028478,0.0217779099501757,"C1F1","TV","HC",5,NA,21
