"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","lwr.ci","upr.ci","dataInput","model","site","groupAge","serotype","year.lamb"
"C1D1.1",0.000322325943673207,0.0410165652995918,0.0658727419292117,0.0713975425771245,0.0951036682771464,0.290195832630358,0.0706842897674365,0.0721107953868126,"C1D1","TV","KH",5,NA,1
"C1D1.2",0.0644026023871841,0.174192401062791,0.200896435624475,0.201266278769912,0.228012309111276,0.344677487237336,0.200559361963451,0.201973195576372,"C1D1","TV","KH",5,NA,2
"C1D1.3",0.000225329923039141,0.0119572761871749,0.019752939056043,0.0220759705663659,0.0294978916011029,0.103500663856048,0.0218346649752554,0.0223172761574763,"C1D1","TV","KH",5,NA,3
"C1D1.4",4.40903556213623e-05,0.0064456758688011,0.0110838488466398,0.0127053923750982,0.0171862253016033,0.0620968105197438,0.0125564225023608,0.0128543622478357,"C1D1","TV","KH",5,NA,4
"C1D1.5",0.000127544193506024,0.00712420737680813,0.0120203258233788,0.0139154927919296,0.0188060472480634,0.0873584423482578,0.0137542196675262,0.0140767659163329,"C1D1","TV","KH",5,NA,5
"C1D1.6",7.1270005562063e-05,0.00706807761472109,0.0120368711117907,0.0138685141019602,0.0186796040729569,0.0616691785996281,0.013706476972097,0.0140305512318233,"C1D1","TV","KH",5,NA,6
"C1D1.7",0.000122376853013861,0.0070212286850595,0.0120139457177278,0.0137982611601638,0.0186232390735888,0.0664489878104093,0.0136380473417417,0.013958474978586,"C1D1","TV","KH",5,NA,7
"C1D1.8",6.03629837127029e-05,0.00762951577454291,0.0127539259756072,0.0144761281352241,0.019653132833377,0.0648758163441353,0.0143120368516635,0.0146402194187846,"C1D1","TV","KH",5,NA,8
"C1D1.9",0.000246199945435843,0.012840215070373,0.0209388955923582,0.0231613654791861,0.0314342194996266,0.0943689982009946,0.0229161296419178,0.0234066013164544,"C1D1","TV","KH",5,NA,9
"C1D1.10",0.000205848136280773,0.0191605370914645,0.0304473174574711,0.0328953545899094,0.0441242297087687,0.131288516659773,0.0325692208077134,0.0332214883721055,"C1D1","TV","KH",5,NA,10
"C1D1.11",0.000146116622086523,0.0108478138151065,0.0187268698970631,0.0215012921866921,0.0291391567402899,0.0968047982020555,0.0212510176879561,0.021751566685428,"C1D1","TV","KH",5,NA,11
"C1D1.12",0.000100525947103303,0.00998335364247205,0.0170647157955561,0.0197614179936469,0.0267608530116022,0.104789131047334,0.0195272457869891,0.0199955902003047,"C1D1","TV","KH",5,NA,12
"C1D1.13",8.43679871932457e-05,0.0076789193436812,0.0133872326643208,0.015601703817524,0.0211291436785394,0.0836134326273622,0.0154113613943963,0.0157920462406517,"C1D1","TV","KH",5,NA,13
"C1D1.14",0.000157202752441132,0.00787007656504135,0.0135746496009046,0.0156681386935902,0.0209480999337589,0.0786497388655788,0.0154817187090432,0.0158545586781372,"C1D1","TV","KH",5,NA,14
"C1D1.15",5.9584125859935e-06,0.00815102600786727,0.0141443936959473,0.0165091342773959,0.0223109623590319,0.0991526002221645,0.0163109144775999,0.0167073540771918,"C1D1","TV","KH",5,NA,15
