"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","lwr.ci","upr.ci","dataInput","model","site","groupAge","serotype","year.lamb"
"C1D1.1.1",0.000615221215200301,0.0430088404176641,0.069095469711671,0.0769165274134538,0.102628028493517,0.323372213406115,0.0761081295902633,0.0777249252366442,"C1D1","TVSS","HC",5,"DENV1",1
"C1D1.2.1",0.000867679035280733,0.0364887988070048,0.0602748394050331,0.068138779996117,0.0919660135613501,0.375752984642564,0.0673830828670129,0.0688944771252211,"C1D1","TVSS","HC",5,"DENV2",1
"C1D1.3.1",0.000360851283686459,0.0194903304397746,0.0339418957174835,0.0395326650925098,0.0529368896088387,0.226542334167844,0.0390499951715345,0.0400153350134851,"C1D1","TVSS","HC",5,"DENV3",1
"C1D1.4.1",0.00113987167964702,0.0319480186886264,0.0536814043191758,0.0605496151856588,0.0812506690278507,0.272463017495651,0.059873016781179,0.0612262135901387,"C1D1","TVSS","HC",5,"DENV4",1
"C1D1.1.2",4.85092042840085e-05,0.0102723292298092,0.0177809443227292,0.0206512462146011,0.0278630574902765,0.126205647169111,0.0204006919006764,0.0209018005285258,"C1D1","TVSS","HC",5,"DENV1",2
"C1D1.2.2",0.00017923636677486,0.0078864345063368,0.0139250882415378,0.0164534598195188,0.0221106943764985,0.0873313866777138,0.0162450442391266,0.0166618753999109,"C1D1","TVSS","HC",5,"DENV2",2
"C1D1.3.2",4.35873375471685e-05,0.00643307419095393,0.0113174199852363,0.0134598444687037,0.0181978367999761,0.0814171302510669,0.0132921503881669,0.0136275385492405,"C1D1","TVSS","HC",5,"DENV3",2
"C1D1.4.2",0.000332306670386306,0.0140987184037026,0.0238698405363602,0.0273065051185455,0.0367976281600765,0.139394901226781,0.0269897451009293,0.0276232651361618,"C1D1","TVSS","HC",5,"DENV4",2
"C1D1.1.3",0.000165773819277182,0.00789099673081561,0.0136773728579697,0.0159861931877367,0.0216895323741403,0.0813564779706211,0.0157914046067432,0.0161809817687302,"C1D1","TVSS","HC",5,"DENV1",3
"C1D1.2.3",1.61087258673254e-05,0.00777291651496545,0.0134156600150748,0.0159778825561424,0.0217487767449389,0.0928828463764941,0.0157823427923344,0.0161734223199505,"C1D1","TVSS","HC",5,"DENV2",3
"C1D1.3.3",0.000143447844959566,0.00501536135094618,0.00887716170230024,0.0105239785706684,0.014161215814486,0.0624188697717885,0.0103914865307605,0.0106564706105764,"C1D1","TVSS","HC",5,"DENV3",3
"C1D1.4.3",0.000109503807118272,0.00919052189688022,0.015811600631814,0.0183527040093136,0.0246674447999685,0.133463724975974,0.0181312255982212,0.0185741824204059,"C1D1","TVSS","HC",5,"DENV4",3
"C1D1.1.4",9.9372629693506e-05,0.00696900778152254,0.0120951253830953,0.0142612713581242,0.0192636478797774,0.0817761925759006,0.0140857789433978,0.0144367637728507,"C1D1","TVSS","HC",5,"DENV1",4
"C1D1.2.4",3.58486520648515e-05,0.00727902986519571,0.0123363940848892,0.0144727377546574,0.0193684079868667,0.0851896474015584,0.0142950366472198,0.0146504388620949,"C1D1","TVSS","HC",5,"DENV2",4
"C1D1.3.4",5.56928352805075e-05,0.00413345527123471,0.00717373846122704,0.00843244311920015,0.0113370286838154,0.0463332419965429,0.00832862831088318,0.00853625792751713,"C1D1","TVSS","HC",5,"DENV3",4
"C1D1.4.4",1.26156538307054e-05,0.00616279670697029,0.0106346945487186,0.0124851025591481,0.0168779164051946,0.0725686479680081,0.0123320030318059,0.0126382020864904,"C1D1","TVSS","HC",5,"DENV4",4
"C1D1.1.5",0.000115528623153893,0.00584438490224645,0.0101695305970242,0.0120862530337605,0.0164492918682372,0.0655580749824388,0.0119345886385583,0.0122379174289627,"C1D1","TVSS","HC",5,"DENV1",5
"C1D1.2.5",7.92369258431069e-05,0.00527652565494921,0.0091999560986657,0.0108682616928765,0.0146783211710137,0.0592612699065515,0.0107328756981883,0.0110036476875648,"C1D1","TVSS","HC",5,"DENV2",5
"C1D1.3.5",3.12393976531489e-05,0.00324797650087488,0.00572091606095698,0.00676507982507897,0.00913976907125097,0.0400443215079527,0.00668028551468972,0.00684987413546823,"C1D1","TVSS","HC",5,"DENV3",5
"C1D1.4.5",0.00019021317930823,0.0058354475082453,0.0102518883132646,0.0120038286327563,0.0160921479588247,0.0646530845172775,0.0118560824886584,0.0121515747768541,"C1D1","TVSS","HC",5,"DENV4",5
"C1D1.1.6",6.9574786263682e-05,0.005908945687158,0.0103332926482408,0.0120609749423642,0.0161500881895577,0.0728845037997303,0.0119123613502401,0.0122095885344883,"C1D1","TVSS","HC",5,"DENV1",6
