"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","lwr.ci","upr.ci","dataInput","model","site","groupAge","serotype","year.lamb"
"C1D1.1.1",0.00106074490855301,0.069710520591976,0.11726287283314,0.133474088544754,0.180980702308738,0.629514538470636,0.131964048830533,0.134984128258975,"C1D1","TVSS","KH",5,"DENV1",1
"C1D1.2.1",0.000986643895002803,0.118901836777199,0.185371811101688,0.19997087672435,0.266888214897686,0.721731983412219,0.198054591091738,0.201887162356962,"C1D1","TVSS","KH",5,"DENV2",1
"C1D1.3.1",0.000200711592527658,0.031796422356841,0.0551258200116188,0.0646435460983155,0.0873966081969635,0.371899420018484,0.063859955465841,0.0654271367307899,"C1D1","TVSS","KH",5,"DENV3",1
"C1D1.4.1",0.000734852344967507,0.0409420180257041,0.0706196633961427,0.0821364903525165,0.110844076431684,0.442871467104335,0.0811570305139263,0.0831159501911067,"C1D1","TVSS","KH",5,"DENV4",1
"C1D1.1.2",0.0370595812147986,0.289007267077061,0.364472638417629,0.366249797098908,0.440834254827944,0.809216391087017,0.364255929061251,0.368243665136565,"C1D1","TVSS","KH",5,"DENV1",2
"C1D1.2.2",0.0010600362266997,0.0691843544120269,0.111321848059898,0.120448852898038,0.160479736581764,0.427011839150083,0.119244432408506,0.12165327338757,"C1D1","TVSS","KH",5,"DENV2",2
"C1D1.3.2",0.000499181536360416,0.0256849779449505,0.0442621081999918,0.0505689674837296,0.0678753187296096,0.234454404912597,0.0499797659731366,0.0511581689943227,"C1D1","TVSS","KH",5,"DENV3",2
"C1D1.4.2",0.000479699169386616,0.0276172373356875,0.0476793040357966,0.0550223731382839,0.0752341444566407,0.292713416373144,0.0543824169247094,0.0556623293518584,"C1D1","TVSS","KH",5,"DENV4",2
"C1D1.1.3",0.000883907071899559,0.0468662548954593,0.0760492823838147,0.0838637332826082,0.11186306892122,0.400421711959192,0.0829860393009079,0.0847414272643085,"C1D1","TVSS","KH",5,"DENV1",3
"C1D1.2.3",0.000100041158357489,0.0126656188299241,0.0218136011658648,0.0259555619049859,0.0352226432401793,0.174925348409746,0.0256329851127219,0.0262781386972499,"C1D1","TVSS","KH",5,"DENV2",3
"C1D1.3.3",0.000115581695287359,0.0133980353742818,0.0226410621458403,0.0262938543676794,0.0353764627659961,0.136082622471649,0.0259833715416461,0.0266043371937126,"C1D1","TVSS","KH",5,"DENV3",3
"C1D1.4.3",8.64305052383774e-06,0.0108090736766501,0.0188540007743183,0.0221739638704098,0.029917524167429,0.115319858705564,0.0218996872445504,0.0224482404962692,"C1D1","TVSS","KH",5,"DENV4",3
"C1D1.1.4",0.000316535100419291,0.0134935357196884,0.0236407504075173,0.0278280184021464,0.0377550887359036,0.150841607532912,0.0274870024861158,0.0281690343181769,"C1D1","TVSS","KH",5,"DENV1",4
"C1D1.2.4",0.000103121474647194,0.0108583954080826,0.0185721931306471,0.0219195199964178,0.0294893389061634,0.129079284106857,0.0216505013322914,0.0221885386605442,"C1D1","TVSS","KH",5,"DENV2",4
"C1D1.3.4",0.000237579951389622,0.00924116909693276,0.0157851880089246,0.018255747499989,0.0244528900920169,0.0968326942594112,0.0180389230743727,0.0184725719256052,"C1D1","TVSS","KH",5,"DENV3",4
"C1D1.4.4",0.000186875630781014,0.00722505371519425,0.0124695705442174,0.0146729418655676,0.0197462609741087,0.076054652814566,0.0144927103821618,0.0148531733489735,"C1D1","TVSS","KH",5,"DENV4",4
"C1D1.1.5",8.01098844663839e-05,0.0123025137814948,0.0212481986870259,0.0249313888620166,0.0339057735567614,0.119246678346845,0.0246309201548181,0.0252318575692151,"C1D1","TVSS","KH",5,"DENV1",5
"C1D1.2.5",0.000125232993023916,0.0106618706119423,0.0180951105389978,0.0210497285113279,0.0281976908043127,0.128902512907671,0.0207970541197332,0.0213024029029226,"C1D1","TVSS","KH",5,"DENV2",5
"C1D1.3.5",0.000117478953570949,0.00763761961279844,0.0133319276725228,0.0155396588208876,0.0210282290809075,0.0724158848926292,0.0153525557612431,0.015726761880532,"C1D1","TVSS","KH",5,"DENV3",5
"C1D1.4.5",0.00017011816259338,0.0058778269939401,0.0101883407596751,0.011926859260579,0.0160200226871912,0.0699397927352156,0.0117806105959485,0.0120731079252095,"C1D1","TVSS","KH",5,"DENV4",5
"C1D1.1.6",2.23755123464064e-05,0.012199148573777,0.0210746285291947,0.0246661312879542,0.0331857166068629,0.135870262459746,0.0243679435264906,0.0249643190494178,"C1D1","TVSS","KH",5,"DENV1",6
"C1D1.2.6",9.36133745256251e-05,0.0104884771079294,0.0180437462702395,0.0212354893665207,0.0288942868962293,0.129069597984396,0.0209769989720585,0.0214939797609829,"C1D1","TVSS","KH",5,"DENV2",6
"C1D1.3.6",0.00014424126860757,0.00786034173255618,0.013404901321851,0.0157155216629687,0.0212240811199909,0.0907024493799951,0.0155252990296582,0.0159057442962792,"C1D1","TVSS","KH",5,"DENV3",6
"C1D1.4.6",8.36215496521353e-05,0.00583719557147497,0.0101017804303852,0.0119218334137879,0.0160256095277986,0.0679647938923214,0.0117747968534877,0.012068869974088,"C1D1","TVSS","KH",5,"DENV4",6
"C1D1.1.7",0.000160463562313029,0.0123298533759893,0.0209143286010737,0.0247520855887755,0.0333144002161115,0.140187982715895,0.0244492517412599,0.0250549194362911,"C1D1","TVSS","KH",5,"DENV1",7
"C1D1.2.7",0.000120754022423175,0.0108340407302185,0.0183106901680289,0.0211404980227117,0.0284228306746623,0.10957752048839,0.0208901689640234,0.0213908270814,"C1D1","TVSS","KH",5,"DENV2",7
"C1D1.3.7",1.96915205641357e-05,0.00773826917273465,0.0133351658389159,0.015568102999461,0.020986991496844,0.0821579612473906,0.015379981516187,0.0157562244827351,"C1D1","TVSS","KH",5,"DENV3",7
"C1D1.4.7",9.82377913861798e-05,0.00586915937840271,0.0100594611973659,0.011931795579791,0.0159634521174164,0.0645892502352677,0.0117818089184231,0.0120817822411589,"C1D1","TVSS","KH",5,"DENV4",7
"C1D1.1.8",6.30777354895251e-05,0.0119346415218221,0.0205913629501267,0.0242470219313521,0.0326726603717642,0.123919860642913,0.0239513364219971,0.0245427074407071,"C1D1","TVSS","KH",5,"DENV1",8
"C1D1.2.8",0.000206048831007277,0.0108834652326478,0.0189655266058468,0.0220900230553774,0.029936271303625,0.117963527589131,0.0218208720058965,0.0223591741048584,"C1D1","TVSS","KH",5,"DENV2",8
"C1D1.3.8",0.000105097486065353,0.00812429489792998,0.0138926553255906,0.0161909003262148,0.0218609707018919,0.0818673841581284,0.0159985004221589,0.0163833002302707,"C1D1","TVSS","KH",5,"DENV3",8
"C1D1.4.8",2.70623211500176e-05,0.00595972353951732,0.0103270814348582,0.0122192027513005,0.0164753150956803,0.0625911504504313,0.0120675197918897,0.0123708857107113,"C1D1","TVSS","KH",5,"DENV4",8
"C1D1.1.9",0.000418382864822875,0.0155571166750254,0.0266803887171725,0.0312145536139075,0.0420995867089258,0.153190405574389,0.0308392003739653,0.0315899068538498,"C1D1","TVSS","KH",5,"DENV1",9
"C1D1.2.9",0.000180366489405559,0.018518122217702,0.0311507978811256,0.0353546653290867,0.0472838382775025,0.192398286318138,0.0349522009804451,0.0357571296777283,"C1D1","TVSS","KH",5,"DENV2",9
"C1D1.3.9",0.000276530809027453,0.0092366244231939,0.0156259153954089,0.0182378085775976,0.0246153547758772,0.0895672948959715,0.0180195013438218,0.0184561158113734,"C1D1","TVSS","KH",5,"DENV3",9
"C1D1.4.9",8.49467296594186e-05,0.00685927374947015,0.0118891873719291,0.0139969960849201,0.0189332282297236,0.0748348966466102,0.0138239309887538,0.0141700611810865,"C1D1","TVSS","KH",5,"DENV4",9
"C1D1.1.10",0.000165767620191604,0.0260230267005679,0.0442145044179774,0.0502315964598523,0.0680639652855706,0.209851574646753,0.0496664188824519,0.0507967740372528,"C1D1","TVSS","KH",5,"DENV1",10
